speed,CO2-Atm,CO2-Eq,CO,PM10,VOC,SO2,PM2.5,NOx,NH3
66,0.0337362,0.000805502,1209.18,2.99597,27.2762,0.699754,2.68104,168.164,2.60721
67,0.0338225,0.000807493,1199.39,3.00206,27.0355,0.697455,2.68636,168.19,2.61971
68,0.0339064,0.000809426,1189.88,3.00797,26.8018,0.695222,2.69152,168.216,2.63184
69,0.0339876,0.0008113,1180.63,3.0137,26.5747,0.693053,2.69651,168.24,2.64361
70,0.0341077,0.00081409,1173.49,3.02238,26.3769,0.691081,2.70412,168.438,2.65497
71,0.0342932,0.000818426,1169.62,3.03602,26.2226,0.68939,2.71613,168.923,2.66584
72,0.0344698,0.000822544,1165.83,3.04907,26.0722,0.687742,2.72759,169.39,2.67642
73,0.0347404,0.000828873,1162.18,3.0702,25.9274,0.686286,2.74626,169.965,2.68729
74,0.0350789,0.000836809,1158.65,3.09706,25.7878,0.684977,2.77002,170.617,2.69827
75,0.0354084,0.00084453,1155.21,3.12319,25.6518,0.683701,2.79315,171.252,2.70894
76,0.0357292,0.00085205,1151.86,3.14865,25.5195,0.68246,2.81567,171.871,2.71934
77,0.0360417,0.000859374,1148.59,3.17344,25.3907,0.681251,2.83761,172.475,2.72947
78,0.0363461,0.00086651,1145.41,3.19759,25.265,0.680073,2.85898,173.062,2.73934
79,0.0366427,0.000873462,1142.32,3.22112,25.1426,0.678924,2.8798,173.633,2.74895
80,0.0369321,0.000880245,1139.3,3.24408,25.0233,0.677805,2.90012,174.191,2.75833
