speed,CO2-Atm,CO2-Eq,CO,PM10,VOC,SO2,PM2.5,NOx,NH3
0,0.0367088,0.000881952,437.749,3.00168,37.5082,0.668532,2.68304,43.1748,3.45386
1,0.0429159,0.00104133,1338.41,3.59175,47.8118,0.994179,3.23045,89.4325,3.62471
2,0.0345333,0.00083793,1076.98,2.89018,38.4729,0.799989,2.59946,71.964,2.91671
3,0.0230337,0.000558896,718.118,1.9303,25.6595,0.533362,1.73621,47.948,1.94449
4,0.0173302,0.000420482,539.211,1.46441,19.2966,0.40019,1.31753,35.8284,1.45844
5,0.0142559,0.000345642,448.168,1.21148,15.8714,0.329302,1.08987,31.7737,1.18786
6,0.0122134,0.000295912,387.798,1.04339,13.5958,0.282223,0.938573,29.1346,1.00789
7,0.0107544,0.000260391,344.677,0.923326,11.9703,0.248595,0.830501,27.2497,0.87934
8,0.00965647,0.000233671,312.428,0.834458,10.7495,0.223479,0.750516,25.9646,0.782981
9,0.00880033,0.000212841,287.404,0.766048,9.79879,0.204007,0.688946,25.0421,0.708066
10,0.00811539,0.000196176,267.383,0.711318,9.03822,0.188429,0.639689,24.3041,0.648134
11,0.00755499,0.000182542,251.002,0.666539,8.41596,0.175684,0.599388,23.7004,0.5991
12,0.00708799,0.000171179,237.352,0.629223,7.89741,0.165063,0.565804,23.1973,0.558238
13,0.00669284,0.000161565,225.801,0.597648,7.45863,0.156075,0.537387,22.7715,0.523662
14,0.00635413,0.000153325,215.901,0.570584,7.08253,0.148372,0.513029,22.4066,0.494025
15,0.0059109,0.00014265,208.215,0.53581,6.72735,0.141994,0.481904,21.6137,0.465305
16,0.0055184,0.0001332,201.517,0.505031,6.41568,0.136422,0.454358,20.9053,0.44008
17,0.00517209,0.000124862,195.607,0.477873,6.14066,0.131506,0.430053,20.2801,0.417822
18,0.00488133,0.000117881,190.356,0.454344,5.89364,0.127129,0.409013,19.7305,0.398078
19,0.00462574,0.000111751,185.657,0.433454,5.67194,0.123209,0.390337,19.2402,0.380423
20,0.00439572,0.000106234,181.43,0.414654,5.47241,0.119682,0.37353,18.7991,0.364534
21,0.00418759,0.000101242,177.604,0.397644,5.29189,0.116491,0.358323,18.4,0.350158
22,0.00399839,9.67044e-05,174.126,0.382181,5.12776,0.11359,0.344498,18.037,0.337088
23,0.00382565,9.25611e-05,170.95,0.368062,4.97793,0.110941,0.331876,17.7058,0.325156
24,0.00366729,8.8763e-05,168.04,0.35512,4.84056,0.108513,0.320306,17.4021,0.314218
25,0.00352161,8.52689e-05,165.362,0.343213,4.7142,0.10628,0.309661,17.1228,0.304155
26,0.00342961,8.30401e-05,162.941,0.335691,4.5769,0.103736,0.302906,16.8253,0.296428
27,0.00336426,8.14439e-05,160.718,0.330223,4.44081,0.101166,0.297974,16.5325,0.289982
28,0.00330358,7.99617e-05,158.654,0.325145,4.31444,0.0987784,0.293395,16.2608,0.283997
29,0.00324708,7.85816e-05,156.732,0.320416,4.19678,0.0965555,0.28913,16.0076,0.278424
30,0.00319436,7.72937e-05,154.938,0.316004,4.08696,0.0944811,0.285151,15.7714,0.273224
31,0.00314503,7.60888e-05,153.26,0.311876,3.98423,0.0925405,0.281429,15.5505,0.268358
32,0.00309878,7.49591e-05,151.687,0.308005,3.88792,0.0907209,0.277938,15.3433,0.263797
33,0.00305534,7.3898e-05,150.209,0.30437,3.79745,0.0890119,0.274659,15.1487,0.259512
34,0.00306263,7.40317e-05,148.402,0.304288,3.72491,0.0876665,0.274508,15.1348,0.257989
35,0.0030746,7.42742e-05,146.609,0.304289,3.65772,0.0864376,0.274417,15.1479,0.256991
36,0.00308593,7.45037e-05,144.917,0.304293,3.59426,0.085277,0.274332,15.1603,0.256051
37,0.00309665,7.47208e-05,143.315,0.304297,3.53423,0.0841793,0.274252,15.172,0.255161
38,0.00310679,7.49263e-05,141.798,0.304299,3.47738,0.0831393,0.274175,15.1832,0.254317
39,0.00311641,7.51212e-05,140.359,0.304302,3.42342,0.0821525,0.274103,15.1937,0.253517
40,0.00313022,7.54151e-05,139.014,0.305214,3.37348,0.0812306,0.274858,15.2132,0.25277
41,0.00314676,7.57741e-05,137.751,0.306749,3.32692,0.080365,0.276179,15.2386,0.252069
42,0.00316252,7.61159e-05,136.548,0.30821,3.28258,0.0795405,0.277438,15.2628,0.2514
43,0.00317754,7.64419e-05,135.4,0.309604,3.24031,0.0787545,0.278638,15.2858,0.250763
44,0.00319189,7.67532e-05,134.306,0.310935,3.19995,0.0780042,0.279784,15.3079,0.250156
45,0.00320559,7.70507e-05,133.259,0.312206,3.16139,0.0772873,0.280879,15.3289,0.249575
46,0.00321869,7.73348e-05,132.258,0.313421,3.1245,0.0766014,0.281925,15.349,0.249019
47,0.00323124,7.76073e-05,131.3,0.314586,3.08918,0.0759448,0.282928,15.3683,0.248487
48,0.00324328,7.78684e-05,130.381,0.315702,3.05534,0.0753156,0.28389,15.3867,0.247977
49,0.0032548,7.81185e-05,129.501,0.316771,3.02287,0.0747119,0.284811,15.4044,0.247488
50,0.0032817,7.87321e-05,128.666,0.319002,2.99742,0.0744272,0.28676,15.5395,0.249233
51,0.00331209,7.94336e-05,127.802,0.320313,2.9719,0.0741553,0.287864,15.6645,0.251122
52,0.00334819,8.02806e-05,126.827,0.319471,2.9438,0.0738378,0.28699,15.7495,0.252957
53,0.00338295,8.10959e-05,125.889,0.318662,2.91676,0.0735323,0.28615,15.8315,0.254724
54,0.00341641,8.18811e-05,124.987,0.317882,2.89073,0.0732382,0.285341,15.9102,0.256426
55,0.00344867,8.26378e-05,124.117,0.317132,2.86564,0.0729548,0.284562,15.9863,0.258066
56,0.00347725,8.3301e-05,123.366,0.317906,2.84353,0.0727193,0.285183,16.0832,0.25965
57,0.00350346,8.39046e-05,122.688,0.319487,2.82337,0.0725132,0.286547,16.1899,0.261182
58,0.00352877,8.44874e-05,122.035,0.321014,2.80391,0.0723142,0.287864,16.293,0.26266
59,0.0035532,8.505e-05,121.402,0.322488,2.7851,0.0721217,0.289135,16.3925,0.264088
60,0.00357684,8.55943e-05,120.792,0.323914,2.76692,0.071936,0.290365,16.4888,0.265469
61,0.0035997,8.61208e-05,120.202,0.325294,2.74934,0.0717563,0.291555,16.5819,0.266805
62,0.0036218,8.66298e-05,119.63,0.326627,2.73232,0.0715821,0.292705,16.6719,0.268097
63,0.00364322,8.7123e-05,119.077,0.32792,2.71584,0.0714137,0.293819,16.7591,0.269349
64,0.00366397,8.76009e-05,118.54,0.329172,2.6999,0.0712506,0.294899,16.8436,0.270561
65,0.00368407,8.80637e-05,118.021,0.330385,2.68442,0.0710923,0.295945,16.9254,0.271736
66,0.00370357,8.85129e-05,117.517,0.331562,2.66942,0.070939,0.29696,17.0049,0.272876
67,0.00372249,8.89485e-05,117.028,0.332703,2.65487,0.0707902,0.297944,17.0819,0.273981
68,0.00374086,8.93715e-05,116.554,0.333811,2.64075,0.0706459,0.2989,17.1567,0.275054
69,0.00375867,8.97817e-05,116.094,0.334886,2.62702,0.0705055,0.299827,17.2293,0.276096
70,0.00377599,9.01807e-05,115.645,0.335931,2.6137,0.0703693,0.300728,17.2998,0.277108
71,0.00379283,9.05683e-05,115.211,0.336947,2.60075,0.0702369,0.301604,17.3684,0.278092
72,0.00380854,9.09272e-05,114.785,0.337875,2.5881,0.0701078,0.302399,17.4343,0.27905
73,0.00382281,9.12484e-05,114.366,0.338685,2.57573,0.069982,0.303082,17.4973,0.279987
74,0.0038367,9.15609e-05,113.957,0.339473,2.56369,0.0698595,0.303747,17.5586,0.280899
75,0.00383856,9.15903e-05,113.674,0.339359,2.55079,0.0696634,0.303615,17.5895,0.281426
76,0.00383672,9.15324e-05,113.434,0.338971,2.53784,0.0694484,0.30324,17.6105,0.281825
77,0.00383492,9.14758e-05,113.2,0.338592,2.52524,0.0692389,0.302875,17.6309,0.282214
78,0.00383316,9.14208e-05,112.973,0.338224,2.51296,0.0690347,0.30252,17.6508,0.282593
79,0.00383145,9.1367e-05,112.75,0.337864,2.50099,0.0688357,0.302173,17.6702,0.282962
80,0.00382978,9.13148e-05,112.533,0.337513,2.48933,0.0686417,0.301836,17.6892,0.283322
