speed,CO2-Atm,CO2-Eq,CO,PM10,VOC,SO2,PM2.5,NOx,NH3
0,0.0363118,0.000873174,440.256,2.98127,37.6634,0.670537,2.66602,43.7703,3.46133
1,0.0429766,0.00104384,1348.28,3.61037,48.193,0.997711,3.24893,90.6218,3.63178
2,0.0345821,0.000839948,1084.93,2.90517,38.7796,0.802832,2.61433,72.921,2.9224
3,0.0230667,0.000560252,723.422,1.94043,25.8645,0.535258,1.74625,48.585,1.94828
4,0.017357,0.000421549,543.212,1.47263,19.4522,0.401618,1.32563,36.3011,1.46129
5,0.0142768,0.000346482,451.468,1.21841,15.9999,0.330493,1.09669,32.1629,1.19016
6,0.0122302,0.0002966,390.632,1.04946,13.7063,0.283256,0.944528,29.4685,1.00983
7,0.0107684,0.00026097,347.177,0.928779,12.0678,0.249516,0.835842,27.544,0.881021
8,0.00966814,0.000234164,314.684,0.839492,10.8372,0.224319,0.755433,26.2339,0.78447
9,0.00881013,0.000213266,289.468,0.770783,9.87891,0.204787,0.693561,25.2951,0.709407
10,0.0081237,0.000196548,269.296,0.715815,9.11226,0.189161,0.644061,24.544,0.649356
11,0.00756208,0.000182869,252.792,0.670841,8.485,0.176376,0.603562,23.9296,0.600225
12,0.00709406,0.00017147,239.038,0.633362,7.96228,0.165722,0.569812,23.4175,0.559281
13,0.00669804,0.000161825,227.4,0.601649,7.51998,0.156707,0.541255,22.9842,0.524636
14,0.0063586,0.000153557,217.425,0.574467,7.14087,0.14898,0.516776,22.6128,0.494941
15,0.00591684,0.000142909,209.693,0.539746,6.78365,0.142579,0.485685,21.8112,0.46617
16,0.0055257,0.000133484,202.956,0.509018,6.47021,0.136988,0.458172,21.0949,0.440901
17,0.00518059,0.000125168,197.011,0.481906,6.19364,0.132055,0.433897,20.463,0.418605
18,0.00489154,0.000118224,191.729,0.45844,5.94514,0.127662,0.412904,19.9075,0.398828
19,0.00463765,0.00011213,187.003,0.437613,5.72208,0.123728,0.394276,19.4121,0.381144
20,0.00440916,0.000106645,182.749,0.418869,5.52133,0.120189,0.377512,18.9663,0.365228
21,0.00420242,0.000101683,178.901,0.401911,5.33972,0.116986,0.362345,18.563,0.350829
22,0.00401448,9.71725e-05,175.403,0.386494,5.17459,0.114074,0.348556,18.1962,0.337738
23,0.00384289,9.30538e-05,172.209,0.372417,5.02384,0.111416,0.335966,17.8615,0.325786
24,0.00368559,8.92784e-05,169.28,0.359514,4.88564,0.10898,0.324425,17.5546,0.31483
25,0.00354088,8.5805e-05,166.587,0.347643,4.75852,0.106738,0.313808,17.2723,0.30475
26,0.00344976,8.35949e-05,164.16,0.340164,4.62032,0.104186,0.307088,16.9732,0.297005
27,0.00338524,8.20163e-05,161.933,0.334737,4.48332,0.101606,0.302188,16.6795,0.290543
28,0.00332534,8.05505e-05,159.866,0.329697,4.35612,0.0992103,0.29764,16.4068,0.284542
29,0.00326956,7.91856e-05,157.941,0.325004,4.23768,0.0969797,0.293403,16.1529,0.278954
30,0.00321751,7.7912e-05,156.145,0.320625,4.12715,0.094898,0.289451,15.916,0.27374
31,0.00316881,7.67204e-05,154.465,0.316528,4.02374,0.0929506,0.285753,15.6942,0.268861
32,0.00312315,7.56032e-05,152.889,0.312687,3.9268,0.0911247,0.282286,15.4864,0.264288
33,0.00308027,7.45538e-05,151.409,0.309079,3.83573,0.0894096,0.279029,15.2912,0.259992
34,0.00308728,7.46796e-05,149.595,0.308952,3.76249,0.0880606,0.278835,15.277,0.25848
35,0.00309872,7.49081e-05,147.793,0.30888,3.69457,0.0868282,0.278676,15.29,0.257497
36,0.00310955,7.51244e-05,146.092,0.308815,3.63044,0.0856644,0.278526,15.3022,0.256569
37,0.00311979,7.5329e-05,144.483,0.308753,3.56977,0.0845636,0.278385,15.3138,0.255692
38,0.00312949,7.55227e-05,142.959,0.308693,3.5123,0.0835207,0.278251,15.3248,0.254861
39,0.00313869,7.57063e-05,141.513,0.308636,3.45777,0.0825312,0.278122,15.3352,0.254072
40,0.00315227,7.59936e-05,140.162,0.309527,3.40732,0.0816073,0.278856,15.3548,0.253336
41,0.00316873,7.63494e-05,138.894,0.311067,3.36032,0.0807402,0.280181,15.3807,0.252646
42,0.00318439,7.66881e-05,137.685,0.312532,3.31556,0.0799143,0.281442,15.4053,0.251988
43,0.00319934,7.70111e-05,136.535,0.31393,3.27289,0.0791269,0.282644,15.4288,0.251362
44,0.00321361,7.73197e-05,135.435,0.315265,3.23215,0.0783753,0.283793,15.4512,0.250764
