speed,CO2-Atm,CO2-Eq,CO,PM10,VOC,SO2,PM2.5,NOx,NH3
64,0.00391307,9.43108e-05,155.288,0.390642,3.59977,0.0806821,0.352001,21.2683,0.279011
65,0.00393544,9.48282e-05,154.381,0.392234,3.57159,0.0804641,0.353392,21.2993,0.280789
66,0.00395713,9.53302e-05,153.501,0.393778,3.54426,0.0802529,0.354743,21.3292,0.282513
67,0.00397819,9.58173e-05,152.647,0.395277,3.51776,0.0800481,0.356053,21.3584,0.284187
68,0.00399862,9.629e-05,151.819,0.396732,3.49203,0.0798491,0.357325,21.3867,0.285812
69,0.00401845,9.67487e-05,151.015,0.398143,3.46704,0.0796559,0.358559,21.4141,0.287388
70,0.00403998,9.7248e-05,150.373,0.39969,3.44413,0.0794788,0.359914,21.4537,0.28897
71,0.00406471,9.78226e-05,149.988,0.401488,3.42414,0.0793244,0.361491,21.5138,0.290593
72,0.00408794,9.83609e-05,149.611,0.40319,3.40464,0.0791736,0.362982,21.5711,0.292174
73,0.00413115,9.93686e-05,149.249,0.406605,3.38596,0.0790573,0.365996,21.6521,0.293831
74,0.00418883,0.000100719,148.9,0.411237,3.36807,0.0789665,0.370095,21.7504,0.295527
75,0.00424497,0.000102032,148.561,0.415745,3.35064,0.0788779,0.374084,21.8459,0.297175
76,0.00429963,0.000103312,148.231,0.420134,3.33368,0.0787919,0.377968,21.9391,0.298781
77,0.00435288,0.000104558,147.91,0.424411,3.31715,0.0787081,0.381752,22.0298,0.300346
78,0.00440477,0.000105772,147.597,0.428577,3.30106,0.0786264,0.385439,22.1182,0.30187
79,0.00445531,0.000106955,147.291,0.432636,3.28536,0.0785466,0.389031,22.2042,0.303355
80,0.00450462,0.000108109,146.993,0.436596,3.27008,0.0784691,0.392535,22.2882,0.304803
