speed,CO2-Atm,CO2-Eq,CO,PM10,VOC,SO2,PM2.5,NOx,NH3
63,0.00312864,7.4343e-05,117.582,0.247805,2.6274,0.070516,0.220466,15.7181,0.26923
64,0.00314868,7.48107e-05,117.064,0.249292,2.61291,0.0703585,0.221774,15.8076,0.270447
65,0.00316808,7.52637e-05,116.56,0.250733,2.59885,0.0702058,0.22304,15.8944,0.271627
66,0.00318691,7.57033e-05,116.074,0.25213,2.58523,0.0700578,0.22427,15.9786,0.272771
67,0.00320517,7.61297e-05,115.601,0.253486,2.57202,0.0699142,0.225462,16.0602,0.273881
68,0.0032229,7.65436e-05,115.141,0.254802,2.55919,0.0697749,0.226619,16.1395,0.274959
69,0.00324011,7.69452e-05,114.696,0.256079,2.54673,0.0696394,0.227742,16.2165,0.276004
70,0.00325683,7.73357e-05,114.263,0.257321,2.53463,0.069508,0.228833,16.2912,0.277021
71,0.00327308,7.7715e-05,113.842,0.258527,2.52287,0.0693802,0.229894,16.3639,0.278009
72,0.00328849,7.80739e-05,113.432,0.259678,2.5114,0.0692557,0.230905,16.434,0.27897
73,0.00330288,7.84077e-05,113.033,0.260764,2.50019,0.0691341,0.231857,16.5013,0.279908
74,0.00331688,7.87324e-05,112.645,0.26182,2.48929,0.0690159,0.232783,16.5667,0.280821
75,0.00331877,7.87715e-05,112.382,0.261961,2.4775,0.0688233,0.232899,16.6014,0.281345
76,0.00331691,7.87222e-05,112.16,0.261818,2.46562,0.0686114,0.232764,16.6261,0.281742
77,0.00331509,7.86742e-05,111.946,0.261678,2.45407,0.068405,0.232632,16.6501,0.282128
78,0.00331332,7.86274e-05,111.737,0.261543,2.44281,0.0682039,0.232504,16.6735,0.282504
79,0.00331159,7.85816e-05,111.533,0.26141,2.43182,0.0680078,0.232378,16.6963,0.28287
80,0.00330991,7.85372e-05,111.335,0.26128,2.42113,0.0678167,0.232257,16.7185,0.283228
