speed,CO2-Atm,CO2-Eq,CO,PM10,VOC,SO2,PM2.5,NOx,NH3
0,0.0325461,0.000774885,436.888,2.58961,36.38,0.666332,2.30385,32.095,3.44289
1,0.0336407,0.00080564,1331.25,2.69153,45.9681,0.984956,2.40311,71.524,3.61437
2,0.0270698,0.000648277,1071.22,2.16581,36.9892,0.792569,1.93372,57.5535,2.90839
3,0.018054,0.000432369,714.168,1.44457,24.6622,0.528372,1.2898,38.353,1.93893
4,0.0135759,0.00032515,535.708,1.08677,18.5093,0.396249,0.970434,28.6885,1.45423
5,0.011468,0.000274478,455.063,0.915874,15.2314,0.327098,0.817563,26.1474,1.1847
6,0.0100742,0.000240969,401.827,0.802816,13.0544,0.281199,0.716421,24.5183,1.00544
7,0.00907864,0.000217033,363.802,0.722061,11.4994,0.248414,0.644177,23.3547,0.877401
8,0.0083297,0.00019903,335.312,0.661862,10.3326,0.223869,0.590327,22.529,0.781389
9,0.00774578,0.000184996,313.173,0.615259,9.42482,0.204804,0.548642,21.9148,0.706725
10,0.00727866,0.000173768,295.461,0.577977,8.69859,0.189552,0.515295,21.4236,0.646993
11,0.00689646,0.000164582,280.97,0.547473,8.10441,0.177073,0.48801,21.0217,0.598123
12,0.00657797,0.000156927,268.894,0.522054,7.60926,0.166674,0.465273,20.6868,0.557397
13,0.00630846,0.00015045,258.676,0.500545,7.19027,0.157875,0.446033,20.4033,0.522936
14,0.00607747,0.000144898,249.917,0.482109,6.83116,0.150333,0.429543,20.1605,0.493399
15,0.00587728,0.000140086,242.327,0.466132,6.51992,0.143797,0.415252,19.9499,0.4678
16,0.0057021,0.000135876,235.685,0.45215,6.24757,0.138077,0.402745,19.7657,0.445401
17,0.00554754,0.000132161,229.824,0.439815,6.00728,0.133031,0.391712,19.6031,0.425637
18,0.00541656,0.000129019,224.623,0.429198,5.79365,0.128549,0.382224,19.4628,0.40808
19,0.00530106,0.000126251,219.969,0.419792,5.60248,0.124539,0.373819,19.3382,0.392373
20,0.00519713,0.00012376,215.783,0.411327,5.43044,0.120931,0.366256,19.2262,0.378238
21,0.0051031,0.000121506,211.995,0.403669,5.27479,0.117667,0.359414,19.1248,0.365449
22,0.0050176,0.000119456,208.55,0.396705,5.13328,0.114699,0.353192,19.0326,0.353822
23,0.00493955,0.000117586,205.406,0.390348,5.00408,0.111989,0.347512,18.9485,0.343207
24,0.00486801,0.000115871,202.523,0.384521,4.88565,0.109505,0.342306,18.8714,0.333476
25,0.0048022,0.000114293,199.872,0.379161,4.7767,0.10722,0.337517,18.8005,0.324524
26,0.00473988,0.000112798,197.426,0.374178,4.67581,0.105108,0.333064,18.7322,0.31626
27,0.00468204,0.000111409,195.163,0.369562,4.58238,0.103152,0.328939,18.6687,0.308609
28,0.00462832,0.000110119,193.061,0.365275,4.49562,0.101336,0.325109,18.6098,0.301505
29,0.00457829,0.000108918,191.104,0.361283,4.41483,0.0996445,0.321542,18.5549,0.294891
30,0.00451742,0.000107463,188.963,0.356491,4.33723,0.0980425,0.317269,18.4969,0.288818
31,0.00433881,0.00010323,184.262,0.342854,4.24578,0.0963409,0.305172,18.3838,0.284008
32,0.00417136,9.92609e-05,179.854,0.330069,4.16002,0.0947454,0.293831,18.2776,0.279498
33,0.00401406,9.55328e-05,175.713,0.318059,4.07948,0.0932468,0.283178,18.178,0.275262
34,0.00386497,9.19984e-05,171.806,0.306549,4.00312,0.0918328,0.272962,18.0825,0.271271
35,0.00372349,8.86437e-05,168.113,0.295516,3.93063,0.090496,0.263163,17.9909,0.267504
36,0.00358987,8.54753e-05,164.626,0.285095,3.86218,0.0892338,0.253909,17.9044,0.263947
37,0.00346346,8.24781e-05,161.326,0.275238,3.79742,0.0880398,0.245155,17.8227,0.260583
38,0.00334371,7.96386e-05,158.202,0.265899,3.73607,0.0869087,0.236861,17.7452,0.257396
39,0.00323011,7.6945e-05,155.236,0.25704,3.67787,0.0858353,0.228993,17.6717,0.254371
40,0.00312169,7.43718e-05,152.431,0.248834,3.62301,0.0848212,0.22171,17.6045,0.251508
41,0.00303139,7.22251e-05,149.996,0.242167,3.57012,0.0838068,0.215793,17.5201,0.24889
42,0.00301486,7.18207e-05,148.858,0.241013,3.51441,0.0825571,0.214753,17.3225,0.246918
43,0.00299912,7.14354e-05,147.773,0.239913,3.46131,0.0813658,0.213763,17.1341,0.245037
44,0.00298409,7.10675e-05,146.738,0.238863,3.41061,0.0802284,0.212817,16.9542,0.243242
45,0.00296973,7.0716e-05,145.748,0.23786,3.36217,0.0791417,0.211913,16.7822,0.241528
46,0.00295598,7.03796e-05,144.801,0.236899,3.31583,0.0781021,0.211048,16.6178,0.239886
47,0.00294282,7.00576e-05,143.895,0.23598,3.27147,0.0771068,0.21022,16.4604,0.238316
48,0.00293022,6.97491e-05,143.027,0.235099,3.22895,0.0761531,0.209427,16.3096,0.236811
49,0.00291812,6.94531e-05,142.193,0.234254,3.18817,0.0752381,0.208666,16.1649,0.235366
50,0.00290959,6.92415e-05,141.33,0.233678,3.14917,0.0743973,0.208143,16.0401,0.234256
51,0.00294125,6.99806e-05,139.692,0.235969,3.11323,0.0740503,0.210155,16.0921,0.236638
52,0.00297514,7.07764e-05,138.085,0.237983,3.07773,0.073704,0.211914,16.1329,0.238935
53,0.00300776,7.15424e-05,136.538,0.239922,3.04358,0.073371,0.213607,16.1722,0.241146
54,0.00303918,7.22801e-05,135.048,0.241789,3.01069,0.0730503,0.215237,16.2101,0.243276
55,0.00306945,7.29909e-05,133.613,0.243588,2.97899,0.0727412,0.216808,16.2465,0.245327
56,0.00309705,7.36368e-05,132.247,0.245481,2.94889,0.0724506,0.218469,16.2868,0.247306
57,0.00312281,7.42385e-05,130.938,0.247397,2.9201,0.0721745,0.220154,16.3286,0.249218
58,0.00314769,7.48194e-05,129.674,0.249246,2.89231,0.0719079,0.221781,16.3689,0.251063
59,0.0031717,7.53803e-05,128.453,0.251032,2.86545,0.0716502,0.223352,16.4079,0.252845
60,0.00319493,7.59227e-05,127.273,0.25276,2.8395,0.0714013,0.224871,16.4456,0.254569
61,0.0032174,7.64474e-05,126.131,0.25443,2.81439,0.0711606,0.22634,16.482,0.256236
62,0.00323913,7.69549e-05,125.026,0.256046,2.79008,0.0709274,0.227762,16.5173,0.257849
63,0.00326018,7.74465e-05,123.957,0.257612,2.76656,0.0707018,0.229138,16.5514,0.259411
64,0.00328058,7.79229e-05,122.921,0.259128,2.74377,0.0704833,0.230473,16.5845,0.260924
65,0.00330033,7.83842e-05,121.916,0.260598,2.72168,0.0702713,0.231765,16.6166,0.26239
66,0.0033195,7.88319e-05,120.943,0.262023,2.70026,0.0700659,0.233018,16.6477,0.263812
