speed,CO2-Atm,CO2-Eq,CO,PM10,VOC,SO2,PM2.5,NOx,NH3
0,0.0253344,0.000630419,509.608,2.41689,41.9541,0.726009,2.19564,60.2458,3.66784
1,0.0446605,0.00111335,1621.51,4.12582,58.7392,1.09542,3.76035,123.528,3.82749
2,0.0359371,0.000895886,1304.78,3.31994,47.2658,0.881459,3.02585,99.3999,3.07988
3,0.0239822,0.000597832,870.131,2.22061,31.5333,0.587713,2.02398,66.2084,2.05328
4,0.0181008,0.000451102,653.894,1.70019,23.7581,0.441136,1.54998,49.3801,1.54011
5,0.0148553,0.000369743,542.74,1.41026,19.554,0.363435,1.28537,42.9302,1.2539
6,0.0126972,0.000315637,469.008,1.21741,16.7604,0.311839,1.10935,38.703,1.06352
7,0.0111557,0.00027699,416.342,1.07967,14.7651,0.274984,0.983627,35.6836,0.927535
8,0.00999191,0.000247838,377.037,0.978814,13.2647,0.247561,0.891556,33.6868,0.825656
9,0.0090821,0.000225065,346.584,0.901846,12.0955,0.226362,0.821278,32.2943,0.746483
10,0.00835424,0.000206847,322.22,0.84027,11.1601,0.209403,0.765056,31.1803,0.683144
11,0.00775873,0.000191941,302.287,0.789891,10.3948,0.195528,0.719057,30.2689,0.631322
12,0.00726246,0.000179519,285.676,0.747907,9.75703,0.183965,0.680722,29.5093,0.588136
13,0.00684256,0.000169009,271.621,0.712384,9.21738,0.174181,0.648288,28.8667,0.551594
14,0.00648263,0.00016,259.573,0.681935,8.75483,0.165795,0.620485,28.3158,0.520273
15,0.00608168,0.000150092,250.571,0.64868,8.34123,0.158777,0.590312,27.2726,0.490112
16,0.00572808,0.000141357,242.74,0.619369,7.97894,0.152645,0.56372,26.3423,0.463627
17,0.00541608,0.00013365,235.829,0.593506,7.65926,0.147234,0.540257,25.5214,0.440257
18,0.00517432,0.000127698,229.691,0.57179,7.36978,0.142408,0.520576,24.8043,0.419569
19,0.0049675,0.000122612,224.199,0.552698,7.10934,0.138086,0.50328,24.166,0.401081
20,0.00478137,0.000118035,219.257,0.535517,6.87495,0.134196,0.487714,23.5917,0.384442
21,0.00461297,0.000113894,214.786,0.519972,6.66289,0.130677,0.47363,23.0721,0.369388
22,0.00445987,0.000110129,210.72,0.505839,6.47009,0.127477,0.460826,22.5996,0.355701
23,0.00432009,0.000106692,207.009,0.492936,6.29407,0.124556,0.449136,22.1683,0.343206
24,0.00419196,0.000103541,203.607,0.481108,6.13271,0.121879,0.43842,21.7729,0.331751
25,0.00407407,0.000100643,200.478,0.470227,5.98427,0.119415,0.428562,21.4091,0.321213
26,0.00400736,9.89485e-05,197.86,0.463931,5.82132,0.116614,0.422782,21.0655,0.312985
27,0.00396592,9.78579e-05,195.551,0.459641,5.6595,0.113785,0.418791,20.7452,0.306049
28,0.00392743,9.68452e-05,193.405,0.455658,5.50925,0.111158,0.415086,20.4479,0.299608
29,0.00389158,9.59019e-05,191.408,0.451948,5.36935,0.108712,0.411634,20.1709,0.293611
30,0.00385814,9.50221e-05,189.545,0.448488,5.23878,0.106429,0.408415,19.9126,0.288014
31,0.00382686,9.41988e-05,187.801,0.44525,5.11664,0.104294,0.405403,19.6708,0.282778
32,0.00379751,9.34267e-05,186.166,0.442213,5.00213,0.102292,0.402578,19.444,0.277869
33,0.00376996,9.27017e-05,184.631,0.439362,4.89455,0.100411,0.399925,19.2312,0.273258
34,0.00376931,9.26066e-05,182.605,0.438004,4.80199,0.0989596,0.398561,19.2132,0.272056
