speed,CO2-Atm,CO2-Eq,CO,PM10,VOC,SO2,PM2.5,NOx,NH3
63,0.00336505,8.03987e-05,125.167,0.300841,2.83321,0.0710652,0.269345,16.9627,0.257446
64,0.003375,8.06281e-05,124.098,0.301543,2.80671,0.0708139,0.269958,16.9666,0.258834
65,0.00338462,8.08501e-05,123.06,0.302223,2.78102,0.0705702,0.270551,16.9703,0.260177
66,0.00339397,8.10657e-05,122.056,0.302882,2.75611,0.070334,0.271126,16.9739,0.261481
67,0.00340304,8.12749e-05,121.08,0.303522,2.73196,0.0701049,0.271685,16.9775,0.262746
68,0.00341184,8.14779e-05,120.133,0.304144,2.7085,0.0698825,0.272227,16.9809,0.263973
69,0.00342038,8.16747e-05,119.214,0.304746,2.68572,0.0696664,0.272753,16.9842,0.265165
70,0.00343272,8.19615e-05,118.501,0.305638,2.66583,0.06947,0.273535,17.0047,0.266316
71,0.00345149,8.24e-05,118.114,0.307017,2.65024,0.0693014,0.274748,17.0537,0.267422
72,0.00346933,8.28161e-05,117.736,0.308335,2.63504,0.0691371,0.275906,17.1005,0.268498
73,0.00349696,8.34623e-05,117.371,0.310494,2.62041,0.0689925,0.277813,17.159,0.269605
74,0.00353165,8.42752e-05,117.017,0.313248,2.60631,0.068863,0.28025,17.2254,0.270724
75,0.0035654,8.50662e-05,116.673,0.315927,2.59259,0.0687368,0.282621,17.29,0.271811
76,0.00359826,8.58365e-05,116.339,0.318537,2.57922,0.068614,0.28493,17.353,0.272871
77,0.00363028,8.6587e-05,116.013,0.321079,2.5662,0.0684944,0.287179,17.4143,0.273903
78,0.00366147,8.7318e-05,115.695,0.323555,2.55353,0.0683778,0.28937,17.474,0.274909
79,0.00369187,8.80303e-05,115.386,0.325968,2.54116,0.0682642,0.291505,17.5322,0.275888
80,0.00372151,8.87251e-05,115.083,0.328321,2.52911,0.0681534,0.293588,17.589,0.276844
